Metric,,,,,Accuracy,Accuracy,AUROC,AUROC,F1,F1,Support vectors,Support vectors
Model,,,,,SMO,SVC,SMO,SVC,SMO,SVC,SMO,SVC
Dataset,Kernel,C,Param,Run,,,,,,,,
Spirals,linear,0.01,0.0,1,0.4626865671641791,0.4626865671641791,0.4112903225806452,0.5089605734767024,0.6326530612244898,0.6326530612244898,12,129
Spirals,linear,0.05,0.0,1,0.43283582089552236,0.4925373134328358,0.4112903225806452,0.5161290322580645,0.5581395348837209,0.5,12,122
Spirals,linear,1.0,0.0,1,0.3880597014925373,0.5074626865671642,0.40770609318996415,0.5089605734767025,0.3880597014925373,0.547945205479452,17,119
Spirals,rbf,0.01,0.5,1,0.4626865671641791,0.4626865671641791,0.4077060931899641,0.7275985663082437,0.6326530612244898,0.6326530612244898,6,130
Spirals,rbf,0.01,1.0,1,0.4626865671641791,0.4626865671641791,0.492831541218638,0.4471326164874552,0.6326530612244898,0.6326530612244898,6,130
Spirals,rbf,0.03,2.0,1,0.4626865671641791,0.4626865671641791,0.3826164874551971,0.485663082437276,0.6326530612244898,0.6326530612244898,12,129
Spirals,poly,0.01,4.0,1,0.4626865671641791,0.4626865671641791,0.6048387096774194,0.4157706093189964,0.6326530612244898,0.6326530612244898,2,131
Spirals,poly,0.05,4.0,1,0.5074626865671642,0.4626865671641791,0.6048387096774194,0.4157706093189964,0.6526315789473685,0.6326530612244898,2,131
Spirals,poly,0.01,5.0,1,0.4626865671641791,0.4626865671641791,0.6039426523297491,0.5743727598566308,0.6326530612244898,0.21739130434782608,2,119
Spirals,poly,0.05,5.0,1,0.5373134328358209,0.582089552238806,0.6039426523297491,0.5869175627240144,0.6666666666666666,0.48148148148148145,2,114
Spirals,linear,0.01,0.0,2,0.4626865671641791,0.4626865671641791,0.6137992831541218,0.5564516129032258,0.0,0.0,8,129
Spirals,linear,0.05,0.0,2,0.582089552238806,0.5522388059701493,0.6137992831541218,0.5492831541218638,0.48148148148148145,0.4642857142857143,8,126
Spirals,linear,1.0,0.0,2,0.5522388059701493,0.5373134328358209,0.5268817204301075,0.5555555555555556,0.6153846153846154,0.45614035087719296,42,121
Spirals,rbf,0.01,0.5,2,0.4626865671641791,0.4626865671641791,0.5600358422939068,0.6299283154121864,0.0,0.0,6,130
Spirals,rbf,0.01,1.0,2,0.4626865671641791,0.4626865671641791,0.4946236559139785,0.45430107526881724,0.0,0.0,10,131
Spirals,rbf,0.03,2.0,2,0.4626865671641791,0.4626865671641791,0.4623655913978495,0.5394265232974911,0.0,0.0,12,128
Spirals,poly,0.01,4.0,2,0.44776119402985076,0.4626865671641791,0.4014336917562724,0.46415770609318996,0.4307692307692308,0.0,28,131
Spirals,poly,0.05,4.0,2,0.44776119402985076,0.4626865671641791,0.5304659498207884,0.47222222222222227,0.4307692307692308,0.0,8,131
Spirals,poly,0.01,5.0,2,0.5522388059701493,0.5074626865671642,0.5331541218637993,0.5976702508960574,0.375,0.2978723404255319,8,119
Spirals,poly,0.05,5.0,2,0.5223880597014925,0.5074626865671642,0.5770609318996416,0.6021505376344085,0.4482758620689655,0.2978723404255319,4,114
Spirals,linear,0.01,0.0,3,0.5454545454545454,0.5,0.5436179981634527,0.617998163452709,0.4827586206896552,0.5352112676056338,12,134
Spirals,linear,0.05,0.0,3,0.5454545454545454,0.5,0.5436179981634527,0.6152433425160697,0.4827586206896552,0.5352112676056338,12,132
