Dataset,Kernel,Dataset size,C,Sigma,Degree,Support_Vectors,Boundary_Vectors,Test accuracy,Iterations
Iris,rbf,100,0.1,2.2,,61,55,0.99,14
Iris,rbf,100,1.0,2.2,,21,8,0.99,13
Iris,rbf,100,5.0,2.2,,12,2,1.0,15
Iris,rbf,100,10.0,2.2,,11,0,1.0,17
Iris,rbf,100,100.0,2.2,,11,0,1.0,17
Iris,poly,100,0.01,,3.0,66,64,0.97,27
Iris,poly,100,0.1,,3.0,36,32,1.0,45
Iris,poly,100,1.0,,3.0,18,14,1.0,22
Iris,poly,100,5.0,,3.0,8,8,1.0,10
Iris,poly,100,10.0,,3.0,8,5,1.0,10
Iris,poly,100,100.0,,3.0,4,0,1.0,11
Iris,poly,100,0.01,,4.0,91,85,0.6,90
Iris,poly,100,0.1,,4.0,87,81,0.6,100
Iris,poly,100,1.0,,4.0,16,10,0.51,100
Iris,poly,100,5.0,,4.0,19,6,0.48,100
Iris,poly,100,10.0,,4.0,18,5,0.53,100
Iris,poly,100,100.0,,4.0,18,0,0.47,100
Iris,poly,100,0.01,,5.0,58,55,0.93,64
Iris,poly,100,0.1,,5.0,39,35,0.96,16
Iris,poly,100,1.0,,5.0,24,21,0.98,13
Iris,poly,100,5.0,,5.0,14,12,0.98,10
Iris,poly,100,10.0,,5.0,13,10,0.98,10
Iris,poly,100,100.0,,5.0,7,2,1.0,10
Circles,linear,100,0.01,,,100,100,0.51,12
Circles,linear,100,0.1,,,100,100,0.51,13
Circles,linear,100,1.0,,,100,100,0.51,11
Circles,linear,100,5.0,,,100,98,0.51,37
Circles,linear,100,10.0,,,100,98,0.5,42
Circles,linear,100,100.0,,,100,97,0.52,641
Circles,rbf,100,0.01,2.2,,100,100,0.99,9
Circles,rbf,100,0.1,2.2,,100,100,0.99,13
Circles,rbf,100,1.0,2.2,,91,83,0.99,34
Circles,rbf,100,5.0,2.2,,42,31,1.0,78
Circles,rbf,100,10.0,2.2,,32,18,1.0,151
Circles,rbf,100,100.0,2.2,,16,2,1.0,259
Circles,poly,100,0.01,,3.0,100,100,0.53,11
Circles,poly,100,0.1,,3.0,100,100,0.53,12
Circles,poly,100,1.0,,3.0,100,96,0.52,51
Circles,poly,100,5.0,,3.0,100,95,0.6,100
Circles,poly,100,10.0,,3.0,99,94,0.44,100
Circles,poly,100,100.0,,3.0,87,5,0.39,100
Circles,poly,100,0.01,,4.0,81,75,1.0,16
Circles,poly,100,0.1,,4.0,23,17,1.0,82
Circles,poly,100,1.0,,4.0,9,3,1.0,33
Circles,poly,100,5.0,,4.0,6,0,1.0,29
Circles,poly,100,10.0,,4.0,6,0,1.0,29
Circles,poly,100,100.0,,4.0,6,0,1.0,29
Circles,poly,100,0.01,,5.0,100,100,0.67,13
Circles,poly,100,0.1,,5.0,100,97,0.69,28
Circles,poly,100,1.0,,5.0,88,78,0.7,100
Circles,poly,100,5.0,,5.0,93,56,0.68,100
Circles,poly,100,10.0,,5.0,92,18,0.39,100
Circles,poly,100,100.0,,5.0,92,0,0.33,100
Moons,linear,200,0.01,,,128,126,0.855,12
Moons,linear,200,0.1,,,75,72,0.865,10
Moons,linear,200,1.0,,,62,59,0.87,20
Moons,linear,200,5.0,,,61,58,0.865,212
Moons,linear,200,10.0,,,61,58,0.865,132
Moons,linear,200,100.0,,,61,58,0.865,5929
Moons,rbf,200,0.01,2.2,,200,200,0.88,9
Moons,rbf,200,0.1,2.2,,107,99,0.91,19
Moons,rbf,200,1.0,2.2,,45,36,0.99,35
Moons,rbf,200,5.0,2.2,,20,13,0.995,18
Moons,rbf,200,10.0,2.2,,16,6,0.995,49
Moons,rbf,200,100.0,2.2,,12,1,1.0,46
Moons,poly,200,0.01,,3.0,90,87,0.845,18
Moons,poly,200,0.1,,3.0,60,56,0.86,29
Moons,poly,200,1.0,,3.0,47,44,0.915,14
Moons,poly,200,5.0,,3.0,43,38,0.915,100
Moons,poly,200,10.0,,3.0,43,38,0.915,100
Moons,poly,200,100.0,,3.0,50,29,0.85,100
Moons,poly,200,0.01,,4.0,200,197,0.505,15
Moons,poly,200,0.1,,4.0,197,192,0.54,96
Moons,poly,200,1.0,,4.0,184,177,0.535,100
Moons,poly,200,5.0,,4.0,186,169,0.51,100
Moons,poly,200,10.0,,4.0,186,151,0.54,100
Moons,poly,200,100.0,,4.0,178,21,0.525,100
Moons,poly,200,0.01,,5.0,74,70,0.89,17
Moons,poly,200,0.1,,5.0,60,55,0.875,42
Moons,poly,200,1.0,,5.0,50,45,0.905,98
Moons,poly,200,5.0,,5.0,45,39,0.91,100
Moons,poly,200,10.0,,5.0,44,37,0.91,100
Moons,poly,200,100.0,,5.0,26,21,0.41,100
